Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,8,9,11,8->4->3->2->1->5->6->7->11->10->9,20,16,Matrix
DFS Recursive,0,9,8,7,9->5->1->2->3->4->8,21,16,Matrix
DFS Recursive,0,7,12,13,7->3->2->1->5->6->10->9->13->14->15->11->12,21,16,Adjacency List
DFS Recursive,0,12,7,15,12->8->4->3->2->1->5->6->10->9->13->14->15->11->7,22,16,Adjacency List
DFS Recursive,0,7,12,13,7->3->2->1->5->6->10->9->13->14->15->11->12,21,16,Matrix
DFS Recursive,0,12,7,9,12->8->4->3->2->1->5->6->7,21,16,Matrix
DFS Recursive,0,16,12,16,16->15->14->13->9->5->1->2->6->10->11->7->3->4->8->12,24,16,Adjacency List
DFS Recursive,0,12,16,16,12->8->4->3->2->1->5->6->10->9->13->14->15->11->7->16,22,16,Adjacency List
DFS Recursive,0,16,12,2,16->12,23,16,Matrix
DFS Recursive,0,12,16,16,12->8->4->3->2->1->5->6->7->11->10->9->13->14->15->16,20,16,Matrix
DFS Recursive,0,15,16,16,15->14->13->9->5->1->2->6->10->11->7->3->4->8->12->16,25,16,Adjacency List
DFS Recursive,0,16,15,2,16->15,22,16,Adjacency List
DFS Recursive,0,15,16,16,15->11->7->3->2->1->5->6->10->9->13->14->4->8->12->16,24,16,Matrix
DFS Recursive,0,16,15,16,16->12->8->4->3->2->1->5->6->7->11->10->9->13->14->15,21,16,Matrix
DFS Recursive,0,5,11,10,5->1->2->6->10->9->13->14->15->11,24,16,Adjacency List
DFS Recursive,0,11,5,6,11->7->3->2->1->5,24,16,Adjacency List
DFS Recursive,0,5,11,14,5->1->2->3->4->8->7->6->10->9->13->14->15->11,21,16,Matrix
DFS Recursive,0,11,5,6,11->7->3->2->1->5,24,16,Matrix
DFS Recursive,0,7,16,16,7->3->2->1->5->6->10->9->13->14->15->11->12->8->4->16,23,16,Adjacency List
DFS Recursive,0,16,7,12,16->15->14->13->9->5->1->2->6->10->11->7,23,16,Adjacency List
DFS Recursive,0,7,16,16,7->3->2->1->5->6->10->9->13->14->15->11->12->8->4->16,23,16,Matrix
DFS Recursive,0,16,7,10,16->12->8->4->3->2->1->5->6->7,22,16,Matrix
DFS Recursive,0,15,3,12,15->14->13->9->5->1->2->6->10->11->7->3,25,16,Adjacency List
DFS Recursive,0,3,15,10,3->2->1->5->6->10->9->13->14->15,22,16,Adjacency List
DFS Recursive,0,15,3,4,15->11->7->3,25,16,Matrix
DFS Recursive,0,3,15,15,3->2->1->5->6->7->8->4->12->11->10->9->13->14->15,20,16,Matrix
DFS Recursive,0,1,4,13,1->2->6->5->9->10->14->13->15->11->7->3->4,23,16,Adjacency List
DFS Recursive,0,4,1,4,4->3->2->1,22,16,Adjacency List
DFS Recursive,0,1,4,4,1->2->3->4,19,16,Matrix
DFS Recursive,0,4,1,4,4->3->2->1,20,16,Matrix
DFS Recursive,0,4,11,12,4->3->2->1->5->6->10->9->13->14->15->11,21,16,Adjacency List
DFS Recursive,0,11,4,16,11->7->3->2->1->5->6->10->9->13->14->15->16->12->8->4,23,16,Adjacency List
DFS Recursive,0,4,11,10,4->3->2->1->5->6->7->8->12->11,20,16,Matrix
DFS Recursive,0,11,4,16,11->7->3->2->1->5->6->10->9->13->14->15->16->12->8->4,23,16,Matrix
